No.	Name	Rtg	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	6.Rd	Pts. 	Rk.	TB1	TB2	TB3
1	GONZALES Ceferino 	1569	PHI	  7w1	  4b0	  9w1	  3b1	  2w1	  5b0	4	3	19.5	13	11.5
2	PEPE Salvatore 	1536	ENG	  6b1	  3w1	  5b½	  4w1	  1b0	 10w1	4.5	1	21	14.5	14.75
3	TRISHAD Shanjit 	1504	ENG	  8w1	  2b0	  4w1	  1w0	  5b1	  6b0	3	6	23	16	10.5
4	LANGLEY Anthony M 	1488	ENG	  9b1	  1w1	  3b0	  2b0	  8w1	-1	4	4	19	12.5	12
5	ARTYSIEWICZ Ari 	1469	ENG	 10w1	 11b1	  2w½	  8b1	  3w0	  1w1	4.5	2	17	11.5	11.75
6	KOTA Pavan Kumar 	1418	ENG	  2w0	  8b0	 11w1	  9b1	  7b1	  3w1	4	5	15	9.5	8
7	FLEISCHER Jeff H 	1325	ENG	  1b0	  9w0	-1	 10b½	  6w0	 11w1	2.5	10	14.5	9.5	4
8	BUTLER Rene 	1303	ENG	  3b0	  6w1	 10b1	  5w0	  4b0	  9w½	2.5	7	19	12.5	7
9	LAMB Keven A 	1211	ENG	  4w0	  7b1	  1b0	  6w0	-1	  8b½	2.5	8	17.5	12	5.25
10	IRIE-WILLIAMS Silk 	1049	ENG	  5b0	-1	  8w0	  7w½	 11b1	  2b0	2.5	9	16.5	11	4
11	GRITSENKO Mark 	930	ENG	   -½	  5w0	  6b0	-1	 10w0	  7b0	1.5	11	17	11	1.5
